client,centrality,shared_identifiers,prediction
Aaliyah Thornton,2.9,3,1
Aaron Dale,2.6,2,1
Abigail Holcomb,1.3,2,0
Adam Blackwell,1.3,2,0
Adam Bright,0.5,2,0
Adam Evans,1.4,2,0
Addison Nieves,0.9,2,0
Adrian Jacobson,1.8,3,0
Adrian Kline,1.6,1,0
Adrian Tyler,1.6,2,0
Aiden Hurst,2.8,3,1
Alex Chen,1.8,2,
Alex Walter,1.7000000000000002,2,0
Alexa Castillo,2.3,2,1
Alexa Maxwell,2.1,2,0
Alexander Huffman,2.5,3,1
Alexander Melendez,1.5,3,0
Alexander Valencia,1.4,2,0
Alexandra Duke,2.0,3,0
Allison Alvarez,3.1,3,1
Alyssa Spence,2.4,2,1
Alyssa Spencer,2.6,2,1
Amelia Mosley,0.8,1,0
Andrea Cummings,2.0,3,0
Andrea Pace,1.4,2,0
Andrea Sharpe,1.1,2,0
Andrew Dudley,1.1,2,0
Andrew Prince,1.7,3,0
Annabelle Head,1.4,2,0
Anthony Hebert,1.7,3,0
Aria Franco,2.3,3,1
Arianna Mccray,1.3,2,0
Arianna Morris,1.7,3,0
Ashley Butler,1.4,3,0
Aubree Bradley,0.8,1,0
Aubree Ewing,1.3,2,0
Aubrey Delacruz,0.9,2,0
Aubrey Odonnell,1.2,3,0
Aubrey Robles,0.5,2,0
Audrey Best,1.4,2,0
Audrey Snider,1.9,2,0
Austin Britt,2.5,3,1
Austin Dale,0.8,1,0
Austin Norman,2.2,2,0
Austin West,1.4,3,0
Autumn Chandler,1.9,3,0
Autumn Rivas,1.7,3,0
Ayden Francis,0.8,1,0
Ayden Mayo,2.6,3,1
Ayden Travis,0.5,2,0
Bailey Blackwell,2.1,3,0
Bailey Hoffman,1.2000000000000002,1,0
Bella Preston,0.9,2,0
Benjamin Burnett,1.2000000000000002,1,0
Benjamin Morton,1.1,2,0
Benjamin Moss,3.0,2,1
Blake Alston,1.4,3,0
Brandon Bishop,1.6,2,0
Brandon Chang,1.9000000000000001,2,0
Brandon Cross,0.9,2,0
Brandon Howell,1.4,3,0
Brayden Dudley,1.9,2,0
Brayden Melton,2.6,3,1
Brody Macdonald,0.9,2,0
Brody Vega,2.2,2,0
Brooklyn Harrison,2.9,2,1
Caleb Holland,0.7,2,0
Caleb Saunders,0.7,2,0
Caleb Walter,0.4,1,0
Cameron Solomon,0.9,2,0
Camila Estrada,1.7,3,0
Camila Randolph,2.0,3,0
Caroline Ferguson,1.5,2,0
Caroline Santos,1.1,2,0
Carson Clark,2.0,2,0
Carson Jennings,2.0,2,0
Charles Cain,0.6000000000000001,1,0
Charles Rodriquez,0.7,2,0
Charlotte Bradshaw,0.2,1,0
Charlotte Brooks,0.9,2,0
Charlotte Foster,3.5,2,1
Charlotte Graham,2.4,2,1
Charlotte Hopper,2.6,3,1
Charlotte Le,2.0,3,0
Chloe Cohen,1.6,3,0
Christian Irwin,2.5,2,1
Christian Reese,2.4,3,1
Christian York,1.8,3,0
Christopher Montgomery,2.1,2,0
Claire Morin,1.0,3,0
Colton Sutton,0.8,1,0
Colton Winters,1.8,2,0
Connor Cross,2.5,2,1
Connor Gomez,1.1,2,0
Connor Hewitt,0.6000000000000001,1,0
Cooper Byrd,1.7,2,0
Damian Chase,1.6,2,0
Damian Hopkins,0.6000000000000001,1,0
Daniel Vega,0.7,2,0
David Dickerson,0.9,2,0
David Klein,0.4,1,0
David Olson,2.1,2,0
David Poole,2.5,2,1
Dominic Bowman,2.1,3,0
Dominic Sweeney,0.4,1,0
Dylan Hyde,2.0,3,0
Dylan Lamb,2.6,3,1
Easton Rhodes,1.6,2,0
Easton Shannon,1.4,2,0
Easton Sparks,0.4,1,0
Easton Sweeney,1.8,2,0
Eli Walsh,2.0,3,0
Elijah Mayo,2.1,2,0
Elijah Warren,2.3,2,1
Elizabeth Sanford,1.2,3,0
Ella Dixon,2.3,2,1
Ella Duke,2.4,2,1
Emily Haney,0.7,2,0
Emily Stout,2.8000000000000003,3,1
Emily Turner,2.3,2,1
Emma Nieves,1.3,2,0
Ethan Guerra,0.7,2,0
Ethan Herrera,0.9,2,0
Ethan Justice,0.7,2,0
Eva Porter,1.6,2,0
Evan Pacheco,0.7,2,0
Evelyn Woodward,1.0,2,0
Faith Lamb,2.7,2,1
Gabriel Good,2.6,3,1
Gabriel Oliver,2.8,2,1
Gabriel Phelps,2.0,2,0
Gabriella Crosby,0.9,2,0
Gabriella Irwin,2.3,2,1
Grace Hammond,2.7,2,1
Grayson Maynard,2.2,2,0
Grayson Mitchell,1.0,1,0
Grayson Palmer,2.0,2,0
Grayson Wyatt,1.1,2,0
Hailey Trevino,1.4,2,0
Hannah Osborne,1.2,2,0
Harper Campbell,1.8,2,0
Harper Lloyd,2.1,2,0
Harper Randall,0.9,2,0
Henry Flowers,1.2,2,0
Hudson Cooke,1.3,2,0
Hunter Newman,1.3,2,0
Hunter Strong,0.7,2,0
Ian Adams,2.4,2,1
Ian Gregory,2.3,3,1
Ian Short,1.1,2,0
Isaac Gallegos,1.0,3,0
Isabella Salinas,0.2,1,0
Jace Ortiz,2.1,2,0
Jace Scott,0.7,2,0
Jack Chan,2.6,2,1
Jack Finch,2.0,2,0
Jack Strong,1.9,3,0
Jackson Gregory,2.2,3,0
Jacob Goff,0.9,2,0
Jacob Hendricks,2.5,2,1
Jacob Leonard,1.2,2,0
Jacob Serrano,1.6,2,0
Jasmine Craig,1.0,2,0
Jason Dejesus,1.6,2,0
Jason Hanson,1.9,3,0
Jason Valentine,1.5,2,0
Jaxon Dudley,2.4,2,1
Jaxon Sykes,1.6,2,0
Jayden Osborn,2.5,2,1
Jeremiah Dickson,1.1,2,0
Jocelyn Russell,1.8,3,0
John Norton,1.6,2,0
Jonathan Arnold,0.9,2,0
Jordan Ferguson,1.6,2,0
Jordan Macdonald,1.2,2,0
Jordan Phillips,2.3,3,1
Jordan Russo,1.3,2,0
Jose Branch,0.6000000000000001,1,0
Jose Colon,1.4,2,0
Jose Roberson,3.2,3,1
Joseph Carney,0.4,1,0
Joseph Merrill,1.8,3,0
Joseph Powers,0.6000000000000001,1,0
Joshua Harvey,0.9,2,0
Joshua Jacobs,1.3,2,0
Josiah Dodson,2.4,2,1
Josiah Sargent,0.6000000000000001,1,0
Josiah Stanton,1.8,2,0
Juan Contreras,0.7,2,0
Juan Trujillo,2.7,2,1
Julia Ortega,3.0,2,1
Julian Buckner,1.7,3,0
Katherine Jacobson,2.0,3,0
Katherine Zamora,0.9,2,0
